,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,5,5,5
1,0,0,0,5,5,5,5,5,5,5
2,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0
6,0,0,0,5,5,5,5,5,5,5
7,0,0,0,0,0,0,0,0,0,0
8,0,5,5,5,5,5,5,5,5,5
9,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0
13,0,0,0,5,5,5,5,5,5,5
14,0,0,0,0,0,0,5,5,5,5
15,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,5,5,5,5,5,5
17,0,5,5,5,5,5,5,5,5,5
18,0,0,0,0,5,5,5,5,5,5
19,0,0,0,0,0,0,5,5,5,5
20,0,0,0,0,0,0,0,0,0,0
21,0,5,5,5,5,5,5,5,5,5
22,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,5,5,5,5,5
24,0,0,0,0,0,0,0,5,5,5
25,0,0,0,0,0,0,0,5,5,5
26,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,5,5,5,5,5
28,0,0,0,0,0,0,0,0,0,0
29,0,0,0,5,5,5,5,5,5,5
30,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0
32,0,0,0,5,5,5,5,5,5,5
33,0,0,0,0,0,0,0,0,5,5
34,0,0,0,0,0,0,0,0,0,0
35,0,0,0,5,5,5,5,5,5,5
36,0,0,0,0,0,5,5,5,5,5
37,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0
40,0,0,0,5,5,5,5,5,5,5
41,0,0,0,0,0,5,5,5,5,5
42,0,5,5,5,5,5,5,5,5,5
43,0,5,5,5,5,5,5,5,5,5
44,0,0,0,0,5,5,5,5,5,5
45,0,0,0,0,0,0,5,5,5,5
46,0,0,5,5,5,5,5,5,5,5
47,0,5,5,5,5,5,5,5,5,5
48,0,0,0,0,5,5,5,5,5,5
49,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,5,5,5,5,5,5
54,0,0,0,0,5,5,5,5,5,5
55,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0
57,0,5,5,5,5,5,5,5,5,5
58,0,0,0,0,0,0,0,5,5,5
59,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0
61,0,5,5,5,5,5,5,5,5,5
62,0,0,0,5,5,5,5,5,5,5
63,0,5,5,5,5,5,5,5,5,5
64,0,0,0,5,5,5,5,5,5,5
65,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,5,5,5,5
67,0,5,5,5,5,5,5,5,5,5
68,0,0,0,5,5,5,5,5,5,5
69,0,0,0,0,0,0,0,0,0,0
70,0,5,5,5,5,5,5,5,5,5
71,0,0,5,5,5,5,5,5,5,5
72,0,0,0,0,0,0,0,0,0,0
73,0,0,0,5,5,5,5,5,5,5
74,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,5,5,5,5,5
76,0,0,0,5,5,5,5,5,5,5
77,0,0,0,0,5,5,5,5,5,5
78,0,0,0,0,5,5,5,5,5,5
79,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,5,5,5,5
82,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,5,5,5,5
84,0,0,0,0,0,5,5,5,5,5
85,0,0,5,5,5,5,5,5,5,5
86,0,0,5,5,5,5,5,5,5,5
87,0,5,5,5,5,5,5,5,5,5
88,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0
90,0,0,0,5,5,5,5,5,5,5
91,0,0,5,5,5,5,5,5,5,5
92,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,5,5,5
95,0,0,0,0,0,0,0,0,0,0
96,0,0,0,5,5,5,5,5,5,5
97,0,0,0,0,0,0,0,0,0,5
98,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,5
